tipo,n_procesos,corrida,tiempo
secuencial,1,1,0.45737810000036916
secuencial,1,2,0.4185693999997966
secuencial,1,3,0.3994548999999097
paralelo,1,1,1.460219799999777
paralelo,1,2,1.396510500000204
paralelo,1,3,1.3029162999996515
paralelo,2,1,1.3636523999998644
paralelo,2,2,1.4565192999998544
paralelo,2,3,1.5557574999997996
paralelo,4,1,1.4582926000002772
paralelo,4,2,1.4569937999999638
paralelo,4,3,1.533892399999786
paralelo,8,1,1.9148690999995779
paralelo,8,2,1.8960700000002362
paralelo,8,3,2.0567277000000104
